start_time,end_time,value
2021-12-29 23:32:02 +0300,2021-12-30 07:30:09 +0300,HKCategoryValueSleepAnalysisInBed
2021-12-31 02:54:36 +0300,2021-12-31 10:00:16 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-01 03:45:31 +0300,2022-01-01 04:00:02 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-01 04:00:06 +0300,2022-01-01 04:01:03 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-01 04:01:05 +0300,2022-01-01 04:08:40 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-01 04:08:41 +0300,2022-01-01 04:09:27 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-01 04:09:28 +0300,2022-01-01 04:09:36 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-01 04:09:37 +0300,2022-01-01 04:27:27 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-01 04:27:36 +0300,2022-01-01 04:28:06 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-01 04:28:23 +0300,2022-01-01 04:31:45 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-01 04:31:50 +0300,2022-01-01 04:35:29 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-02 01:45:26 +0300,2022-01-02 09:00:21 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-03 00:42:56 +0300,2022-01-03 08:30:21 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-04 02:14:37 +0300,2022-01-04 08:55:12 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-05 02:10:37 +0300,2022-01-05 09:30:23 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-06 02:00:50 +0300,2022-01-06 09:15:16 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-07 02:11:52 +0300,2022-01-07 09:30:10 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-08 02:50:00 +0300,2022-01-08 09:00:20 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-09 01:57:04 +0300,2022-01-09 09:30:01 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-10 00:58:49 +0300,2022-01-10 05:00:11 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-11 00:20:02 +0300,2022-01-11 08:00:06 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-12 01:43:03 +0300,2022-01-12 08:55:11 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-13 02:09:34 +0300,2022-01-13 03:09:22 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-13 04:00:03 +0300,2022-01-13 09:40:00 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-14 03:30:00 +0300,2022-01-14 08:25:58 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-14 08:28:07 +0300,2022-01-14 08:28:08 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-14 08:28:21 +0300,2022-01-14 08:28:28 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-14 08:29:35 +0300,2022-01-14 10:00:07 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-15 01:54:43 +0300,2022-01-15 02:56:55 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-15 02:57:14 +0300,2022-01-15 03:04:55 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-15 03:05:04 +0300,2022-01-15 03:05:20 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-15 03:18:47 +0300,2022-01-15 03:21:37 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-15 03:28:52 +0300,2022-01-15 03:28:57 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-15 03:37:03 +0300,2022-01-15 03:37:21 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-15 03:38:08 +0300,2022-01-15 09:00:20 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-15 23:50:46 +0300,2022-01-16 02:42:37 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-16 03:32:00 +0300,2022-01-16 03:32:40 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-16 03:33:26 +0300,2022-01-16 03:35:49 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-16 03:42:45 +0300,2022-01-16 03:43:18 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-16 03:58:45 +0300,2022-01-16 03:59:42 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-16 03:59:46 +0300,2022-01-16 05:00:01 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-17 01:12:18 +0300,2022-01-17 08:50:17 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-18 01:42:02 +0300,2022-01-18 07:45:33 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-19 01:03:29 +0300,2022-01-19 07:30:14 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-20 00:00:37 +0300,2022-01-20 07:30:09 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-21 01:30:00 +0300,2022-01-21 08:06:15 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-21 23:49:52 +0300,2022-01-22 08:00:20 +0300,HKCategoryValueSleepAnalysisInBed
2022-01-23 00:09:10 +0300,2022-01-23 01:54:31 +0300,HKCategoryValueSleepAnalysisInBed
